Date,Price,Open,High,Low,Vol,Change %
5/22/2024,0.5286,0.5372,0.5382,0.5266,517000000,-1.61%
5/21/2024,0.5372,0.5377,0.5565,0.5321,812410000,-0.09%
5/20/2024,0.5377,0.5096,0.5379,0.5067,672450000,5.49%
5/19/2024,0.5097,0.5213,0.5234,0.5071,209990000,-2.22%
5/18/2024,0.5212,0.5234,0.5256,0.5188,171860000,-0.41%
5/17/2024,0.5234,0.5156,0.5287,0.5137,456520000,1.52%
5/16/2024,0.5156,0.5189,0.5222,0.5125,540830000,-0.66%
5/15/2024,0.519,0.5001,0.5195,0.4975,515400000,3.79%
5/14/2024,0.5,0.5053,0.5123,0.4975,506210000,-1.02%
5/13/2024,0.5052,0.4993,0.5114,0.4869,507800000,1.16%
5/12/2024,0.4993,0.5059,0.5084,0.4969,174990000,-1.30%
5/11/2024,0.5059,0.5021,0.5074,0.5007,188090000,0.76%
5/10/2024,0.5021,0.5209,0.5209,0.4979,587730000,-3.63%
5/9/2024,0.521,0.517,0.5237,0.5092,480480000,0.78%
5/8/2024,0.517,0.5247,0.5292,0.5155,563970000,-1.47%
5/7/2024,0.5247,0.5399,0.5441,0.5219,501070000,-2.82%
5/6/2024,0.54,0.5295,0.5692,0.5251,907570000,1.98%
5/5/2024,0.5295,0.5301,0.5332,0.5241,212250000,-0.12%
5/4/2024,0.5301,0.5316,0.5407,0.5275,298360000,-0.27%
5/3/2024,0.5316,0.5179,0.5364,0.5146,578900000,2.64%
5/2/2024,0.5179,0.5174,0.5244,0.5068,580800000,0.12%
5/1/2024,0.5173,0.5006,0.5211,0.4795,813120000,3.38%
4/30/2024,0.5004,0.515,0.5197,0.4889,681900000,-2.86%
4/29/2024,0.5151,0.5102,0.5174,0.4987,568120000,0.98%
4/28/2024,0.5101,0.5179,0.5252,0.5087,240320000,-1.49%
4/27/2024,0.5179,0.5261,0.5264,0.5103,347310000,-1.56%
4/26/2024,0.526,0.5254,0.5357,0.5148,585490000,0.12%
4/25/2024,0.5254,0.5275,0.5325,0.5141,622310000,-0.39%
4/24/2024,0.5275,0.5445,0.5518,0.5218,731070000,-3.13%
4/23/2024,0.5445,0.556,0.5574,0.5419,647390000,-2.11%
4/22/2024,0.5562,0.5246,0.5709,0.5225,801630000,6.04%
4/21/2024,0.5246,0.5288,0.5364,0.5188,377990000,-0.81%
4/20/2024,0.5288,0.503,0.5299,0.4987,563490000,5.19%
4/19/2024,0.5028,0.5025,0.5106,0.4677,11000000000,0.04%
4/18/2024,0.5025,0.4884,0.5052,0.4858,685300000,1.21%
4/16/2024,0.4965,0.4976,0.5017,0.4771,830950000,-0.22%
4/15/2024,0.4976,0.5034,0.5187,0.4815,10500000000,-1.16%
4/14/2024,0.5034,0.4782,0.5072,0.4643,13500000000,5.26%
4/13/2024,0.4783,0.547,0.5488,0.4312,18900000000,-12.57%
4/12/2024,0.547,0.6085,0.6156,0.5168,14000000000,-10.10%
4/11/2024,0.6085,0.6172,0.6214,0.6032,512400000,-1.41%
4/10/2024,0.6172,0.6141,0.6201,0.5958,629230000,0.51%
4/9/2024,0.6141,0.6151,0.6418,0.6016,908050000,-0.16%
4/8/2024,0.6151,0.5946,0.6259,0.5887,718360000,3.45%
4/7/2024,0.5946,0.5929,0.6023,0.5896,292690000,0.28%
4/6/2024,0.5929,0.5872,0.5984,0.5853,237380000,0.98%
4/5/2024,0.5872,0.5931,0.5951,0.5692,624540000,-1.01%
4/4/2024,0.5931,0.5741,0.6145,0.5626,977920000,3.35%
4/3/2024,0.5739,0.5853,0.5962,0.5667,726640000,-1.94%
4/2/2024,0.5853,0.611,0.618,0.5798,918620000,-4.21%
4/1/2024,0.611,0.6291,0.6328,0.5954,753070000,-2.87%
3/31/2024,0.6291,0.6215,0.6299,0.6205,258270000,1.23%
3/30/2024,0.6215,0.63,0.6362,0.6179,395100000,-1.35%
3/29/2024,0.63,0.6245,0.6444,0.6097,755220000,0.88%
3/28/2024,0.6245,0.6118,0.6371,0.6047,720460000,2.08%
3/27/2024,0.6118,0.6318,0.6346,0.6066,815790000,-3.16%
3/26/2024,0.6318,0.6406,0.6529,0.6257,706200000,-1.37%
3/25/2024,0.6406,0.6325,0.6619,0.6265,844260000,1.28%
3/24/2024,0.6325,0.6167,0.6356,0.6134,451630000,2.55%
3/23/2024,0.6167,0.6116,0.6324,0.6044,422860000,0.83%
3/22/2024,0.6116,0.6404,0.6449,0.5997,839020000,-4.54%
3/21/2024,0.6408,0.6112,0.654,0.5977,11600000000,4.83%
3/20/2024,0.6113,0.5848,0.6184,0.5695,12000000000,4.48%
3/19/2024,0.585,0.6453,0.6485,0.5722,15200000000,-9.33%
3/18/2024,0.6452,0.6191,0.6677,0.5947,11900000000,4.26%
3/17/2024,0.6189,0.603,0.6249,0.5876,756580000,2.64%
3/16/2024,0.603,0.6341,0.646,0.5945,940980000,-4.91%
3/15/2024,0.6341,0.6692,0.6751,0.5999,16000000000,-5.24%
3/14/2024,0.6692,0.6888,0.7073,0.6413,12500000000,-2.83%
3/13/2024,0.6887,0.688,0.7022,0.6689,941430000,0.10%
3/12/2024,0.688,0.7191,0.7313,0.6615,16500000000,-4.32%
3/11/2024,0.7191,0.6079,0.7435,0.5857,27300000000,18.29%
3/10/2024,0.6079,0.62,0.6276,0.5968,657430000,-1.96%
3/9/2024,0.6201,0.6201,0.6321,0.6163,629310000,0.00%
3/8/2024,0.6201,0.6272,0.6337,0.6037,943570000,-1.14%
3/7/2024,0.6272,0.6121,0.6387,0.6071,11100000000,2.46%
3/6/2024,0.6121,0.5908,0.6235,0.5756,11900000000,3.61%
3/5/2024,0.5908,0.6475,0.6681,0.5454,22700000000,-8.79%
3/4/2024,0.6478,0.6273,0.6645,0.6202,15300000000,3.25%
3/3/2024,0.6274,0.644,0.6443,0.5936,950230000,-2.61%
3/2/2024,0.6442,0.6011,0.6496,0.5996,12800000000,7.16%
3/1/2024,0.6011,0.5861,0.6033,0.5833,793090000,2.58%
2/29/2024,0.586,0.5751,0.6234,0.5676,18600000000,1.91%
2/28/2024,0.5751,0.5859,0.6053,0.5393,14900000000,-1.88%
2/27/2024,0.5861,0.5507,0.5967,0.5478,11800000000,6.42%
2/26/2024,0.5507,0.5425,0.5526,0.5289,572920000,1.52%
2/25/2024,0.5425,0.5449,0.5486,0.542,277120000,-0.45%
2/24/2024,0.5449,0.5341,0.548,0.5314,275720000,2.03%
2/23/2024,0.5341,0.5412,0.5436,0.526,593650000,-1.31%
2/22/2024,0.5412,0.549,0.5515,0.5368,518460000,-1.42%
2/21/2024,0.549,0.5623,0.5629,0.5335,621420000,-2.36%
2/20/2024,0.5623,0.5626,0.5748,0.5452,794140000,-0.06%
2/19/2024,0.5626,0.557,0.5677,0.5543,509930000,1.00%
2/18/2024,0.557,0.5496,0.5624,0.5474,277670000,1.35%
2/17/2024,0.5496,0.5643,0.5654,0.5399,353740000,-2.60%
2/16/2024,0.5643,0.5621,0.5782,0.553,695310000,0.39%
2/15/2024,0.5621,0.5377,0.5762,0.5374,850580000,4.53%
2/14/2024,0.5377,0.5247,0.5418,0.5203,558030000,2.51%
2/13/2024,0.5245,0.5315,0.5336,0.5155,537620000,-1.30%
2/12/2024,0.5315,0.5262,0.5374,0.5145,515170000,1.00%
2/11/2024,0.5262,0.5238,0.5359,0.5216,313000000,0.46%
2/10/2024,0.5238,0.526,0.5281,0.5188,203090000,-0.42%
2/9/2024,0.526,0.5146,0.528,0.514,509990000,2.22%
2/8/2024,0.5146,0.5138,0.519,0.5102,433540000,0.16%
2/7/2024,0.5138,0.5051,0.5155,0.4994,460820000,1.72%
2/6/2024,0.5051,0.5068,0.5111,0.499,396050000,-0.34%
2/5/2024,0.5068,0.5032,0.5138,0.4976,409980000,0.72%
2/4/2024,0.5032,0.5186,0.5191,0.5018,208500000,-2.98%
2/3/2024,0.5186,0.5108,0.5263,0.5061,357190000,1.54%
2/2/2024,0.5107,0.5058,0.5138,0.499,455940000,0.97%
2/1/2024,0.5058,0.5033,0.5105,0.4904,438790000,0.50%
1/31/2024,0.5033,0.5107,0.5142,0.491,623350000,-1.44%
1/30/2024,0.5106,0.5351,0.539,0.5068,816710000,-4.57%
1/29/2024,0.5351,0.5242,0.5397,0.5201,399500000,2.08%
1/28/2024,0.5242,0.5303,0.5354,0.5213,191840000,-1.16%
1/27/2024,0.5303,0.5322,0.5346,0.5265,163670000,-0.34%
1/26/2024,0.5322,0.5137,0.5358,0.5085,455510000,3.59%
1/25/2024,0.5137,0.5182,0.5182,0.5041,349930000,-0.86%
1/24/2024,0.5182,0.5181,0.5192,0.5111,363130000,0.02%
1/23/2024,0.5181,0.5274,0.5317,0.4965,613250000,-1.76%
1/22/2024,0.5274,0.5464,0.5493,0.5198,446900000,-3.46%
1/21/2024,0.5463,0.5537,0.5552,0.5459,168990000,-1.34%
1/20/2024,0.5537,0.5443,0.5549,0.5392,281170000,1.73%
1/19/2024,0.5443,0.5518,0.5536,0.5227,576030000,-1.36%
1/18/2024,0.5518,0.5686,0.569,0.5449,404830000,-2.96%
1/17/2024,0.5686,0.5757,0.5763,0.5623,330820000,-1.23%
1/16/2024,0.5757,0.5756,0.5797,0.5673,330960000,0.01%
1/15/2024,0.5756,0.5765,0.5891,0.5688,356620000,-0.15%
1/14/2024,0.5765,0.5747,0.5929,0.5718,264380000,0.31%
1/13/2024,0.5747,0.5701,0.5774,0.5701,216830000,0.79%
1/12/2024,0.5702,0.6019,0.6033,0.5569,625570000,-5.26%
1/11/2024,0.6018,0.6004,0.6224,0.586,698540000,0.22%
1/10/2024,0.6005,0.567,0.6143,0.5501,818700000,5.92%
1/9/2024,0.5669,0.5774,0.5781,0.5558,702440000,-1.81%
1/8/2024,0.5774,0.5511,0.5815,0.5451,767020000,4.76%
1/7/2024,0.5511,0.568,0.5727,0.5462,381190000,-2.95%
1/6/2024,0.5679,0.5757,0.5757,0.557,400490000,-1.36%
1/5/2024,0.5757,0.587,0.5884,0.5567,670400000,-1.90%
1/4/2024,0.5869,0.5822,0.5937,0.5703,612730000,0.80%
1/3/2024,0.5822,0.6245,0.6392,0.5021,13900000000,-6.77%
1/2/2024,0.6245,0.6294,0.6394,0.6217,454630000,-0.79%
1/1/2024,0.6295,0.6154,0.6309,0.6085,205680000,2.29%
12/31/2023,0.6154,0.6207,0.6279,0.6071,202660000,-0.86%
12/30/2023,0.6207,0.623,0.6295,0.616,207770000,-0.36%
12/29/2023,0.623,0.6345,0.6362,0.6133,447900000,-1.82%
12/28/2023,0.6345,0.6341,0.6569,0.6254,647410000,0.02%
12/27/2023,0.6344,0.622,0.6413,0.6133,522010000,2.00%
12/26/2023,0.622,0.6461,0.6462,0.6029,593530000,-3.73%
12/25/2023,0.6461,0.612,0.6485,0.6083,663830000,5.56%
12/24/2023,0.612,0.6195,0.6289,0.6071,430860000,-1.21%
12/23/2023,0.6195,0.6243,0.6248,0.6115,281410000,-0.77%
12/22/2023,0.6243,0.6241,0.631,0.6157,525200000,0.04%
12/21/2023,0.6241,0.617,0.6248,0.6108,423840000,1.15%
12/20/2023,0.617,0.6045,0.6261,0.6012,535820000,2.07%
12/19/2023,0.6045,0.6124,0.6166,0.5974,444300000,-1.29%
12/18/2023,0.6124,0.6103,0.6143,0.5814,661100000,0.34%
12/17/2023,0.6103,0.6204,0.6223,0.6089,295920000,-1.62%
12/16/2023,0.6204,0.6155,0.6255,0.6108,283120000,0.79%
12/15/2023,0.6155,0.6316,0.643,0.6138,507120000,-2.55%
12/14/2023,0.6316,0.6273,0.6377,0.6141,487850000,0.69%
12/13/2023,0.6272,0.619,0.634,0.595,556100000,1.33%
12/12/2023,0.619,0.6186,0.6261,0.6069,522270000,0.07%
12/11/2023,0.6186,0.6617,0.6627,0.6024,811110000,-6.51%
12/10/2023,0.6617,0.6585,0.671,0.6481,373770000,0.48%
12/9/2023,0.6585,0.6718,0.6994,0.6561,706260000,-2.07%
12/8/2023,0.6724,0.6416,0.6753,0.636,661270000,4.81%
12/7/2023,0.6416,0.6395,0.6527,0.6225,636770000,0.30%
12/6/2023,0.6396,0.6202,0.6417,0.6122,706830000,3.15%
12/5/2023,0.6201,0.6239,0.6292,0.6075,527350000,-0.60%
12/4/2023,0.6238,0.6221,0.6422,0.591,687660000,0.28%
12/3/2023,0.6221,0.619,0.632,0.6158,359980000,0.49%
12/2/2023,0.619,0.6116,0.621,0.61,240750000,1.22%
12/1/2023,0.6116,0.6055,0.6124,0.6024,360950000,1.02%
11/30/2023,0.6054,0.6083,0.609,0.5982,362040000,-0.47%
11/29/2023,0.6083,0.6089,0.6156,0.6036,375950000,-0.08%
11/28/2023,0.6087,0.6034,0.6124,0.5958,427830000,0.89%
11/27/2023,0.6034,0.6154,0.6165,0.5939,456950000,-1.95%
11/26/2023,0.6154,0.6225,0.6366,0.6097,378140000,-1.14%
11/25/2023,0.6225,0.6211,0.6232,0.6158,166720000,0.22%
11/24/2023,0.6212,0.6204,0.6252,0.616,385000000,0.14%
11/23/2023,0.6203,0.6107,0.6235,0.6062,426770000,1.58%
11/22/2023,0.6107,0.5787,0.6161,0.5785,479190000,5.51%
11/21/2023,0.5788,0.6122,0.6177,0.5737,607290000,-5.46%
11/20/2023,0.6122,0.6255,0.6281,0.6101,367190000,-2.12%
11/19/2023,0.6255,0.6106,0.6286,0.6014,291810000,2.44%
11/18/2023,0.6106,0.6132,0.6143,0.5911,230910000,-0.43%
11/17/2023,0.6132,0.612,0.624,0.5866,459820000,0.20%
11/16/2023,0.612,0.6481,0.6521,0.6054,529370000,-5.57%
11/15/2023,0.6481,0.6296,0.6502,0.6253,413750000,2.97%
11/14/2023,0.6294,0.6705,0.6712,0.5974,760690000,-6.11%
11/13/2023,0.6704,0.6613,0.7478,0.6423,944370000,1.32%
11/12/2023,0.6616,0.6627,0.6708,0.6478,255020000,-0.17%
11/11/2023,0.6627,0.6594,0.685,0.6417,499640000,0.46%
11/10/2023,0.6597,0.6666,0.671,0.6408,720370000,-1.04%
11/9/2023,0.6666,0.687,0.706,0.6343,11500000000,-2.99%
11/8/2023,0.6871,0.6852,0.6977,0.6726,688970000,0.29%
11/7/2023,0.6852,0.7148,0.7149,0.6555,10500000000,-4.15%
11/6/2023,0.7148,0.6608,0.7317,0.6591,965920000,8.22%
11/5/2023,0.6605,0.6151,0.6623,0.6141,645220000,7.39%
11/4/2023,0.6151,0.6121,0.618,0.6089,372070000,0.48%
11/3/2023,0.6121,0.6054,0.6149,0.5923,657340000,1.10%
11/2/2023,0.6054,0.6087,0.625,0.5897,797370000,-0.55%
11/1/2023,0.6087,0.5996,0.6156,0.5803,734230000,1.53%
10/31/2023,0.5996,0.5782,0.6156,0.563,787700000,3.70%
10/30/2023,0.5782,0.5561,0.5841,0.5497,595420000,3.98%
10/29/2023,0.5561,0.5446,0.5613,0.541,206620000,2.10%
10/28/2023,0.5446,0.543,0.5504,0.5406,251860000,0.30%
10/27/2023,0.543,0.5533,0.5586,0.5384,500060000,-1.90%
10/26/2023,0.5535,0.5552,0.5676,0.5434,650560000,-0.31%
10/25/2023,0.5552,0.5589,0.5632,0.541,626900000,-0.66%
10/24/2023,0.5589,0.5473,0.5839,0.5365,11600000000,2.13%
10/23/2023,0.5472,0.5226,0.5523,0.5199,777460000,4.72%
10/22/2023,0.5226,0.5211,0.5238,0.5132,202820000,0.29%
10/21/2023,0.5211,0.5149,0.5314,0.5112,221480000,1.18%
10/20/2023,0.515,0.5196,0.5296,0.5087,559750000,-0.89%
10/19/2023,0.5196,0.4878,0.5241,0.4777,647630000,6.55%
10/18/2023,0.4877,0.4911,0.4923,0.4865,368520000,-0.69%
10/17/2023,0.4911,0.4978,0.498,0.4876,376840000,-1.34%
10/16/2023,0.4978,0.4874,0.5099,0.4854,496800000,2.13%
10/15/2023,0.4874,0.4865,0.4899,0.4851,127240000,0.18%
10/14/2023,0.4865,0.4851,0.4883,0.4835,119840000,0.29%
10/13/2023,0.4851,0.483,0.4906,0.4787,319620000,0.44%
10/12/2023,0.483,0.489,0.489,0.4746,346560000,-1.23%
10/11/2023,0.489,0.4964,0.4977,0.4795,313410000,-1.50%
10/10/2023,0.4964,0.5026,0.5026,0.4919,305920000,-1.23%
10/9/2023,0.5026,0.5175,0.52,0.4924,442970000,-2.88%
10/8/2023,0.5175,0.5215,0.5234,0.5164,120340000,-0.77%
10/7/2023,0.5215,0.5254,0.5255,0.5198,95150000,-0.74%
10/6/2023,0.5254,0.5227,0.5289,0.5178,298220000,0.49%
10/5/2023,0.5228,0.5326,0.5326,0.5181,342910000,-1.84%
10/4/2023,0.5326,0.5389,0.542,0.522,630730000,-1.16%
10/3/2023,0.5389,0.5122,0.547,0.5064,554820000,5.20%
10/2/2023,0.5123,0.5239,0.5259,0.5104,449820000,-2.21%
10/1/2023,0.5239,0.5148,0.5255,0.5139,225010000,1.76%
9/30/2023,0.5148,0.5217,0.5217,0.5146,205790000,-1.32%
9/29/2023,0.5217,0.5097,0.5463,0.5062,844570000,2.35%
9/28/2023,0.5097,0.4995,0.51,0.4952,341110000,2.05%
9/27/2023,0.4995,0.5019,0.5069,0.4968,334640000,-0.50%
9/26/2023,0.502,0.5056,0.5073,0.4977,365970000,-0.73%
9/25/2023,0.5056,0.5021,0.5069,0.4919,410240000,0.71%
9/24/2023,0.5021,0.5076,0.5115,0.4996,150060000,-1.09%
9/23/2023,0.5076,0.5121,0.5136,0.5058,135460000,-0.88%
9/22/2023,0.5121,0.5071,0.5166,0.5044,328360000,0.98%
9/21/2023,0.5072,0.5212,0.5212,0.5007,430970000,-2.69%
9/20/2023,0.5212,0.5139,0.5249,0.5075,503980000,1.43%
9/19/2023,0.5138,0.503,0.5163,0.5012,510010000,2.15%
9/18/2023,0.503,0.4926,0.5071,0.4886,464230000,2.11%
9/17/2023,0.4926,0.4997,0.5003,0.4901,190790000,-1.42%
9/16/2023,0.4997,0.5005,0.5034,0.4983,176370000,-0.16%
9/15/2023,0.5005,0.4891,0.5066,0.4881,412040000,2.33%
9/14/2023,0.4891,0.4833,0.4934,0.4801,321930000,1.21%
9/13/2023,0.4833,0.4802,0.4889,0.4739,395130000,0.65%
9/12/2023,0.4802,0.4743,0.4855,0.4701,479550000,1.23%
9/11/2023,0.4743,0.4969,0.4982,0.4624,661840000,-4.55%
9/10/2023,0.4969,0.5038,0.5038,0.4932,225990000,-1.37%
9/9/2023,0.5038,0.505,0.505,0.5016,127510000,-0.24%
9/8/2023,0.505,0.505,0.507,0.4951,358560000,0.00%
9/7/2023,0.505,0.5032,0.5065,0.4966,340610000,0.35%
9/6/2023,0.5032,0.5056,0.5058,0.4919,391310000,-0.46%
9/5/2023,0.5056,0.5086,0.5086,0.4994,393220000,-0.59%
9/4/2023,0.5086,0.5047,0.5126,0.4976,443630000,0.76%
9/3/2023,0.5047,0.4988,0.5098,0.4973,298750000,1.18%
9/2/2023,0.4988,0.498,0.5025,0.4945,331430000,0.16%
9/1/2023,0.498,0.511,0.5118,0.4881,598120000,-2.53%
8/31/2023,0.511,0.5283,0.5287,0.4997,541270000,-3.29%
8/30/2023,0.5284,0.5398,0.5403,0.5222,468330000,-2.14%
8/29/2023,0.54,0.5232,0.5475,0.5133,649470000,3.21%
8/28/2023,0.5232,0.5236,0.525,0.5121,404870000,-0.08%
8/27/2023,0.5236,0.5231,0.53,0.5206,258090000,0.10%
8/26/2023,0.5231,0.5257,0.5279,0.5184,231570000,-0.49%
8/25/2023,0.5257,0.5186,0.531,0.5082,517750000,1.36%
8/24/2023,0.5186,0.5301,0.5319,0.5122,433370000,-2.16%
8/23/2023,0.5301,0.5207,0.5365,0.5159,493090000,1.80%
8/22/2023,0.5207,0.5244,0.5254,0.5048,718430000,-0.70%
8/21/2023,0.5244,0.5385,0.5397,0.5061,868000000,-2.62%
8/20/2023,0.5385,0.52,0.5554,0.5164,765320000,3.56%
8/19/2023,0.52,0.506,0.5237,0.5009,549930000,2.77%
8/18/2023,0.506,0.5063,0.5199,0.4852,12100000000,-0.13%
8/17/2023,0.5066,0.589,0.5945,0.4334,12900000000,-13.99%
8/16/2023,0.589,0.6104,0.6166,0.5777,847810000,-3.50%
8/15/2023,0.6104,0.6342,0.6345,0.5873,591960000,-3.75%
8/14/2023,0.6342,0.6256,0.6368,0.6243,456280000,1.36%
8/13/2023,0.6256,0.6276,0.6382,0.6244,279290000,-0.28%
8/12/2023,0.6274,0.6318,0.6331,0.6247,206000000,-0.69%
8/11/2023,0.6318,0.633,0.6407,0.6267,419600000,-0.18%
8/10/2023,0.6329,0.6433,0.6444,0.6247,507620000,-1.61%
8/9/2023,0.6433,0.6419,0.6653,0.6341,717550000,0.21%
8/8/2023,0.6419,0.6231,0.6466,0.6145,616880000,3.01%
8/7/2023,0.6231,0.624,0.6298,0.6003,720000000,-0.13%
8/6/2023,0.624,0.6288,0.6383,0.6215,378600000,-0.77%
8/5/2023,0.6288,0.6356,0.6357,0.6121,496930000,-1.07%
8/4/2023,0.6356,0.6632,0.6674,0.6292,581930000,-4.18%
8/3/2023,0.6633,0.6848,0.6874,0.6571,588430000,-3.19%
8/2/2023,0.6851,0.707,0.7076,0.6773,447750000,-3.10%
8/1/2023,0.707,0.6976,0.7074,0.6798,609870000,1.34%
7/31/2023,0.6976,0.7046,0.7199,0.6871,649900000,-0.99%
7/30/2023,0.7046,0.7121,0.7335,0.686,453080000,-1.05%
7/29/2023,0.7121,0.7123,0.7152,0.7051,218350000,-0.03%
7/28/2023,0.7123,0.7139,0.7184,0.7034,363730000,-0.23%
7/27/2023,0.7139,0.7163,0.731,0.7079,547340000,-0.33%
7/26/2023,0.7163,0.709,0.7304,0.6953,614790000,1.03%
7/25/2023,0.709,0.7022,0.7153,0.6754,622400000,0.96%
7/24/2023,0.7022,0.7384,0.7423,0.6833,831810000,-4.90%
7/23/2023,0.7384,0.7329,0.7513,0.7161,456900000,0.75%
7/22/2023,0.7329,0.7713,0.7797,0.7236,492500000,-4.98%
7/21/2023,0.7713,0.7942,0.7985,0.7617,600420000,-2.86%
7/20/2023,0.794,0.8198,0.8482,0.7726,908890000,-3.15%
7/19/2023,0.8198,0.7788,0.8489,0.7717,12600000000,5.25%
7/18/2023,0.779,0.7375,0.7819,0.7329,801790000,5.62%
7/17/2023,0.7375,0.747,0.7644,0.7148,839350000,-1.28%
7/16/2023,0.747,0.7145,0.7891,0.7053,13100000000,4.55%
7/15/2023,0.7145,0.7181,0.7329,0.6938,10100000000,-0.51%
7/14/2023,0.7182,0.8156,0.8239,0.6723,21200000000,-11.88%
7/13/2023,0.815,0.4711,0.9214,0.4696,34500000000,73.01%
7/12/2023,0.4711,0.4753,0.4772,0.4662,307590000,-0.88%
7/11/2023,0.4753,0.478,0.4782,0.4711,295950000,-0.56%
7/10/2023,0.478,0.4681,0.4799,0.4638,429530000,2.12%
7/9/2023,0.4681,0.4704,0.4717,0.4669,105410000,-0.50%
7/8/2023,0.4704,0.4686,0.4747,0.4653,151240000,0.39%
7/7/2023,0.4686,0.4623,0.4707,0.4586,292480000,1.37%
7/6/2023,0.4623,0.4776,0.4842,0.4619,395390000,-3.21%
7/5/2023,0.4776,0.4872,0.4919,0.4698,389090000,-1.92%
7/4/2023,0.4869,0.4891,0.4935,0.4822,378460000,-0.45%
7/3/2023,0.4891,0.4844,0.4912,0.4789,469380000,0.97%
7/2/2023,0.4844,0.4731,0.4956,0.47,449380000,2.35%
7/1/2023,0.4733,0.4729,0.476,0.4648,299650000,0.08%
6/30/2023,0.4729,0.4746,0.4826,0.4545,541260000,-0.35%
6/29/2023,0.4746,0.4646,0.4772,0.4615,296750000,2.14%
6/28/2023,0.4647,0.4838,0.4843,0.4507,471720000,-3.96%
6/27/2023,0.4838,0.4791,0.4848,0.4765,390620000,0.98%
6/26/2023,0.4791,0.4902,0.4916,0.4732,402160000,-2.27%
6/25/2023,0.4902,0.4866,0.497,0.4831,257950000,0.75%
6/24/2023,0.4866,0.4959,0.496,0.4808,263360000,-1.88%
6/23/2023,0.4959,0.494,0.502,0.485,452440000,0.39%
6/22/2023,0.494,0.4999,0.527,0.4882,599840000,-1.19%
6/21/2023,0.5,0.4927,0.5033,0.4893,549210000,1.47%
6/20/2023,0.4927,0.4934,0.4963,0.473,485590000,-0.14%
6/19/2023,0.4934,0.487,0.4982,0.4826,412310000,1.32%
6/18/2023,0.487,0.4794,0.4975,0.4754,298360000,1.58%
6/17/2023,0.4794,0.4758,0.4861,0.4695,247750000,0.76%
6/16/2023,0.4758,0.4803,0.4831,0.4573,504550000,-0.94%
6/15/2023,0.4803,0.4801,0.4854,0.4682,461320000,0.04%
6/14/2023,0.4801,0.5191,0.5203,0.4657,718200000,-7.51%
6/13/2023,0.5191,0.525,0.5634,0.5058,10200000000,-1.12%
6/12/2023,0.525,0.5207,0.5279,0.5091,478140000,0.82%
6/11/2023,0.5207,0.5068,0.5289,0.503,302450000,2.75%
6/10/2023,0.5068,0.538,0.5385,0.477,828840000,-5.79%
6/9/2023,0.538,0.5238,0.5406,0.5206,477700000,2.72%
6/8/2023,0.5238,0.5183,0.5277,0.5157,352840000,1.06%
6/7/2023,0.5183,0.5299,0.538,0.507,613060000,-2.19%
6/6/2023,0.5299,0.509,0.5322,0.497,594240000,4.11%
6/5/2023,0.509,0.5358,0.5425,0.4905,808200000,-5.01%
6/4/2023,0.5358,0.5188,0.5461,0.5153,333010000,3.28%
6/3/2023,0.5188,0.5247,0.5321,0.5157,234100000,-1.12%
6/2/2023,0.5247,0.5065,0.5268,0.5041,396930000,3.59%
6/1/2023,0.5065,0.5168,0.5168,0.5021,421140000,-1.99%
5/31/2023,0.5168,0.5205,0.5275,0.5012,600310000,-0.72%
5/30/2023,0.5205,0.4944,0.5289,0.4896,892900000,5.29%
5/29/2023,0.4944,0.482,0.4948,0.4767,443390000,2.57%
5/28/2023,0.482,0.4718,0.486,0.47,229960000,2.16%
5/27/2023,0.4718,0.4685,0.4785,0.4658,254850000,0.71%
5/26/2023,0.4685,0.4538,0.4699,0.4525,412550000,3.25%
5/25/2023,0.4537,0.4531,0.4546,0.4438,282800000,0.15%
5/24/2023,0.4531,0.4651,0.4651,0.4464,500060000,-2.59%
5/23/2023,0.4651,0.4617,0.4669,0.459,385360000,0.74%
5/22/2023,0.4617,0.4575,0.4671,0.4509,414380000,0.92%
